Index,Combined,Type,Nato Designation,Pennant No.,Name,Name,Commissioned,Tons,Fleet,Status
406,"Xia Type 092 submarine Name: Changzheng 6/长征6, Commisioned:1987, Tons:8000, Fleet:Varies",Type 092 submarine,Xia class,406,Changzheng 6,长征6,1987,8000,Varies,Active
407,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 7/长征7, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,407,Changzheng 7,长征7,2006 or later,7000,Varies,
408,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 8/长征8, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,408,Changzheng 8,长征8,2006 or later,7000,Varies,
409,"Jin Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN) Name: Changzheng 9/长征9, Commisioned:2007 or later, Tons:11500, Fleet:Varies",Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN),Jin,409,Changzheng 9,长征9,2007 or later,11500,Varies,
410,"Jin Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN) Name: Changzheng 10/长征10, Commisioned:2007 or later, Tons:11500, Fleet:Varies",Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN),Jin,410,Changzheng 10,长征10,2007 or later,11500,Varies,
411,"Jin Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN) Name: Changzheng 11/长征11, Commisioned:2007 or later, Tons:11500, Fleet:Varies",Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN),Jin,411,Changzheng 11,长征11,2007 or later,11500,Varies,
412,"Jin Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN) Name: Changzheng 12/长征12, Commisioned:2007 or later, Tons:11500, Fleet:Varies",Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN),Jin,412,Changzheng 12,长征12,2007 or later,11500,Varies,
413,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 13/长征13, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,413,Changzheng 13,长征13,2006 or later,7000,Varies,
414,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 14/长征14, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,414,Changzheng 14,长征14,2006 or later,7000,Varies,
415,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 15/长征15, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,415,Changzheng 15,长征15,2006 or later,7000,Varies,
416,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 16/长征16, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,416,Changzheng 16,长征16,2006 or later,7000,Varies,
417,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 17/长征17, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,417,Changzheng 17,长征17,2006 or later,7000,Varies,
418,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 18/长征18, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,418,Changzheng 18,长征18,2006 or later,7000,Varies,
419,"Shang Type 093/093A/B Nuclear attack submarine (SSN) Name: Changzheng 19/长征19, Commisioned:2006 or later, Tons:7000, Fleet:Varies",Type 093/093A/B Nuclear attack submarine (SSN),Shang,419,Changzheng 19,长征19,2006 or later,7000,Varies,
420,"Jin Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN) Name: Changzheng 20/长征20, Commisioned:2007 or later, Tons:11500, Fleet:Varies",Type 094 / 094A Nuclear Ballistic Missile Submarine (SSBN),Jin,420,Changzheng 20,长征20,2007 or later,11500,Varies,
